,DenoisingAutoEncoder (DAE)
OBSEA/2020-10-22.out,0.2033137728684846
OBSEA/2020-10-23.out,0.3478784231116461
OBSEA/2020-10-24.out,0.0
OBSEA/2020-10-25.out,0.2366288492706645
OBSEA/2020-10-26.out,0.0
OBSEA/2020-10-27.out,0.000437445319335
OBSEA/2020-10-28.out,0.8258003766478342
OBSEA/2020-10-29.out,0.0012150668286755
OBSEA/2020-10-30.out,0.1970301418439716
OBSEA/2020-10-31.out,0.1248399487836107
OBSEA/2020-11-01.out,0.0
OBSEA/2020-11-02.out,0.0034418850939899
OBSEA/2020-11-03.out,0.0216066481994459
OBSEA/2020-11-04.out,0.2761679479597871
OBSEA/2020-11-05.out,0.0194444444444444
OBSEA/2020-11-06.out,0.6801242236024845
OBSEA/2020-11-07.out,0.4655172413793103
OBSEA/2020-11-08.out,0.0
OBSEA/2020-11-09.out,0.0
OBSEA/2020-11-10.out,0.0
OBSEA/2020-11-11.out,0.742526518804243
OBSEA/2020-11-12.out,0.0594594594594594
OBSEA/2020-11-13.out,0.0
OBSEA/2020-11-14.out,0.0
OBSEA/2020-11-15.out,0.0
OBSEA/2020-11-16.out,0.0
OBSEA/2020-11-17.out,0.2283372365339578
OBSEA/2020-11-18.out,0.0233168172544447
OBSEA/2020-11-19.out,0.0213004484304932
OBSEA/2020-11-20.out,0.0636223704463827
OBSEA/2020-11-21.out,0.2079091620986687
OBSEA/2020-11-22.out,0.0
OBSEA/2020-11-23.out,0.0329198473282442
OBSEA/2020-11-24.out,0.0
OBSEA/2020-11-25.out,0.0634526763559021
OBSEA/2020-11-26.out,0.0
OBSEA/2020-11-27.out,0.0
OBSEA/2020-11-28.out,0.0
OBSEA/2020-11-29.out,0.0
OBSEA/2020-11-30.out,0.0
OBSEA/2020-12-01.out,0.0
OBSEA/2020-12-02.out,0.0
OBSEA/2020-12-03.out,0.0
OBSEA/2020-12-04.out,0.0
OBSEA/2020-12-05.out,0.0
OBSEA/2020-12-06.out,0.0
OBSEA/2020-12-07.out,0.0
OBSEA/2020-12-08.out,0.0
OBSEA/2020-12-09.out,0.0
OBSEA/2020-12-10.out,0.00109439124487
OBSEA/2020-12-11.out,0.0
OBSEA/2020-12-12.out,0.0
OBSEA/2020-12-13.out,0.0
OBSEA/2020-12-14.out,0.0
OBSEA/2020-12-15.out,0.0038010769718086
OBSEA/2020-12-16.out,0.0152743729964171
OBSEA/2020-12-17.out,0.0606960950764006
OBSEA/2020-12-18.out,0.0
OBSEA/2020-12-19.out,0.1906798739306618
OBSEA/2020-12-20.out,0.1359846055163566
OBSEA/2020-12-21.out,0.0
OBSEA/2020-12-22.out,0.0
OBSEA/2020-12-23.out,0.0
OBSEA/2020-12-24.out,0.0
OBSEA/2020-12-25.out,0.0077987421383647
OBSEA/2020-12-26.out,0.0
OBSEA/2020-12-27.out,0.0
OBSEA/2020-12-28.out,0.0
