,Random Black Forest (RR)
OBSEA/2020-09-24.out,0.3123916504630701
OBSEA/2020-09-25.out,0.4652502021611062
OBSEA/2020-09-26.out,0.2267628428331691
OBSEA/2020-09-29.out,0.5044239234301529
OBSEA/2020-09-30.out,0.4635291372036041
OBSEA/2020-10-01.out,0.6667831886727588
OBSEA/2020-10-02.out,0.6857172213472811
OBSEA/2020-10-03.out,0.765762542306248
OBSEA/2020-10-04.out,0.4769502595664695
OBSEA/2020-10-05.out,0.7856751074518895
OBSEA/2020-10-06.out,0.2754733969222507
OBSEA/2020-10-07.out,0.2291829584078503
OBSEA/2020-10-08.out,0.2437282652740398
OBSEA/2020-10-09.out,0.2003079480068822
