algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,BestF1Score,FalseNegativeRate,result_path,RANGE_PR_AUC,train_main_time,train_preprocess_time,train_postprocess_time,error_message,Recommendation_ACC
PCC,OBSEA,2021-07-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,2,"{'random_state': 42, 'svd_solver': 'auto'}",7.4572248458862305,,,0.8699248411591508,0.0452252670552019,0.5,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_01_44_07/results.csv,0.0346421093543166,,,,,0.0
AutoEncoder (AE),OBSEA,2022-05-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",9.045683860778809,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_10_57_34/results.csv,,23.320958614349365,,,,0.0
HBOS,OBSEA,2021-07-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",8.705390214920044,,,0.7520350830832343,0.1184163029952153,0.9032258064516128,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_01_49_06/results.csv,0.0378315822978758,,,,,0.0
Torsk,OBSEA,2022-02-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1325.3883299827576,,0.014514684677124,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_21_54_38/results.csv,,,,,,0.0
PCC,OBSEA,2021-08-07_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",7.449220657348633,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_03_25_23/results.csv,,,,,,0.0
HBOS,OBSEA,2021-08-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",11.658104658126833,,,0.6284619706491978,0.1796339719200583,0.4812734082397004,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_03_34_24/results.csv,0.1188850309464448,,,,,0.0
HBOS,OBSEA,2021-10-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",12.813867807388306,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_13_01_13/results.csv,,,,,,0.0
PCC,OBSEA,2022-04-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,2,"{'random_state': 42, 'svd_solver': 'auto'}",11.625959634780884,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_00_17_30/results.csv,,,,,,0.0
Torsk,OBSEA,2021-09-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1562.5062453746796,,0.01220703125,0.3693405690927925,0.0519835518982061,0.0963855421686747,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_07_36_33/results.csv,0.0110715690650566,,,,,0.0
HBOS,OBSEA,2022-08-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",12.27783751487732,,,0.575885957257995,0.2670330104762667,0.6170212765957447,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_01_27_47/results.csv,0.2531852348189333,,,,,0.0
HBOS,OBSEA,2022-10-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",16.45726203918457,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_04_29_51/results.csv,,,,,,0.0
Torsk,OBSEA,2022-10-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,2,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1358.496745347977,,0.021615982055664,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_10_49_33/results.csv,,,,,,0.0
Torsk,OBSEA,2021-09-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,2,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1443.8783140182495,,0.0208845138549804,0.7788690377010576,0.3583777385206125,0.4715909090909091,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_18_41_01/results.csv,0.2099062218999693,,,,,0.0
HBOS,OBSEA,2022-09-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",12.925467014312744,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_01_03_33/results.csv,,,,,,0.0
PCC,OBSEA,2021-12-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",10.529582500457764,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_02_40_16/results.csv,,,,,,0.0
AutoEncoder (AE),OBSEA,2022-07-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",8.678444862365723,,,0.465942257804682,0.1373846777442244,0.5749128919860628,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_15_25_32/results.csv,0.1678301894234568,20.341638326644897,,,,0.0
AutoEncoder (AE),OBSEA,2021-10-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",8.710044622421265,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_23_32_17/results.csv,,18.269572257995605,,,,0.0
AutoEncoder (AE),OBSEA,2022-08-02,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",9.723952054977415,,,0.6996075924593548,0.2098715463771619,0.7951807228915663,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_17_07_54/results.csv,0.0673173019310562,26.617570638656616,,,,0.0
HBOS,OBSEA,2021-07-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",12.218247175216677,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_02_16_12/results.csv,,,,,,0.0
HBOS,OBSEA,2021-09-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",10.743368864059448,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_10_47_39/results.csv,,,,,,0.0
HBOS,OBSEA,2021-11-16_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",11.635541915893556,,,0.8978658946140106,0.2975163760136691,0.521594684385382,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_01_40_06/results.csv,0.1984232968950047,,,,,0.0
PCC,OBSEA,2022-02-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",9.996785163879396,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_10_32_31/results.csv,,,,,,0.0
PCC,OBSEA,2022-02-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,2,"{'random_state': 42, 'svd_solver': 'auto'}",10.755163192749023,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_18_03_09/results.csv,,,,,,0.0
