algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,BestF1Score,FalseNegativeRate,result_path,RANGE_PR_AUC,train_main_time,train_preprocess_time,train_postprocess_time,Recommendation_ACC
PCC,OBSEA,2022-03-01_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",8.280024528503418,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_12_12_22/results.csv,,,,,0.0
HBOS,OBSEA,2022-05-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",16.670783042907715,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_13_30_23/results.csv,,,,,0.0
AutoEncoder (AE),OBSEA,2022-12-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",14.935537576675417,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_16_56_43/results.csv,,39.40056085586548,,,0.0
PCC,OBSEA,2022-04-08_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",14.5178062915802,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_19_52_45/results.csv,,,,,0.0
AutoEncoder (AE),OBSEA,2022-01-07,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",13.532347202301024,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_02_34_57/results.csv,,32.13140368461609,,,0.0
PCC,OBSEA,2022-02-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",7.956746578216553,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_06_51_55/results.csv,,,,,0.0
PCC,OBSEA,2022-05-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",25.40143322944641,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_17_36_37/results.csv,,,,,0.0
HBOS,OBSEA,2022-10-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",12.959359645843506,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_16_37_35/results.csv,,,,,0.0
PCC,OBSEA,2022-07-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",13.6817147731781,,,0.6791405962978663,0.1733170972490645,0.5761904761904761,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_18_36_45/results.csv,0.0824353604017582,,,,0.0
HBOS,OBSEA,2022-08-17_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",14.682858943939207,,,0.5058341263824669,0.1082510085327091,0.2032332563510392,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_07_00_03/results.csv,0.0661899964439684,,,,0.0
HBOS,OBSEA,2022-04-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",14.321876287460327,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_03_50_59/results.csv,,,,,0.0
Torsk,OBSEA,2022-08-06_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,2,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1545.76704788208,,0.0222861766815185,0.6001383375117268,0.1666627094828469,0.88558352402746,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_00_13_37/results.csv,0.2086241170951516,,,,0.0
Torsk,OBSEA,2022-03-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,de9b8b973f50539dc5ef4c8c1a722f4b,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",1414.2658905982971,,0.0148160457611083,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_02_24_56/results.csv,,,,,0.0
HBOS,OBSEA,2022-04-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",19.9926917552948,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_22_21_46/results.csv,,,,,0.0
PCC,OBSEA,2022-10-09_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",11.4493887424469,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_12_23_43/results.csv,,,,,0.0
PCC,OBSEA,2022-02-07_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",11.59361743927002,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_02_39_59/results.csv,,,,,0.0
PCC,OBSEA,2022-03-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",10.194957494735718,,,,0.0,0.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_13_17_10/results.csv,,,,,0.0
AutoEncoder (AE),OBSEA,2022-07-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",11.766071557998655,,,0.5622739400578383,0.3451912061333178,0.7362338545207342,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_20_11_15_58/results.csv,0.4118994978225478,31.885274410247803,,,0.0
