algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
DenoisingAutoEncoder (DAE),OBSEA,2021-01-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",21.06537699699402,,,11.69402813911438,,,0.4657939281018791,0.9015817528108204,0.7284858374470715,0.0,0.6355486604593968,../../../../TimeEval_work_results/for_Oracle/2024_04_14_23_46_49/results.csv,
PCC,OBSEA,2020-08-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,7.36402702331543,,,0.9835172463919368,0.3631209454422057,0.6166617742610371,0.27734375,0.6355327806682451,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_18/results.csv,
PCC,OBSEA,2023-05-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,10.05578327178955,,,0.5641777021255248,0.6437678798159912,0.7487193326618605,0.0005924170616113,0.6355296372697001,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_25_24/results.csv,
PCC,OBSEA,2021-01-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,8.245558500289917,,,0.4962669984747186,0.8218679629746813,0.6512600476999593,0.0,0.6348911060720215,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_07_47_36/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-01-06,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",22.18320178985596,,,16.023571729660034,,,0.6741741069694074,0.6936727565003471,0.5856160825295186,0.5049723756906077,0.6345024949704847,../../../../TimeEval_work_results/for_Oracle/2024_04_14_23_46_49/results.csv,
AutoEncoder (AE),OBSEA,2021-01-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.872249841690063,,,9.463102102279665,,,0.5959752040433756,0.8893885128438316,0.6835002906280392,0.0201162270898524,0.6343710467345633,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_09_20_19/results.csv,
CBLOF,OBSEA,2020-06-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,4,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.541064500808716,,,0.7911044936872289,0.5545290188051748,0.6312461185219028,0.3093525179856115,0.634193911208441,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-11-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,5,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.115116119384766,,,8.240815877914429,,,0.5188391107972445,0.754795749165202,0.7126527919838167,0.0,0.6339333765162776,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_06_40_32/results.csv,
COPOD,OBSEA,2020-01-04_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,4,{'random_state': 42},,,,10.68673539161682,,,0.8845343130624169,0.1541723968030852,0.7029768954984426,0.0976447497546614,0.6332512927068639,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_45/results.csv,
COPOD,OBSEA,2023-05-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,20.748698472976685,,,0.5650995107377117,0.6325621457587423,0.7487200884023745,0.0,0.6332445973074275,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_25_27/results.csv,
COPOD,OBSEA,2021-01-04_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,9.109694719314575,,,0.5931361231689227,0.7839838415939824,,,0.6332141895533201,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_19_20_13/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-01-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",23.12167501449585,,,11.879355430603027,,,0.5653901584468087,0.9104176211021068,0.6823197382625144,0.0,0.6329105403898563,../../../../TimeEval_work_results/for_Oracle/2024_04_14_23_46_49/results.csv,
RobustPCA,OBSEA,2020-08-04,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},122.45171785354614,,,6.809721946716309,,,0.9084733281189818,0.626327105502151,,,0.6324762564499414,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_20_31_10/results.csv,
RobustPCA,OBSEA,2023-05-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},260.0311133861542,,,10.349184036254885,,,0.5369308139553788,0.6466594901610421,0.7491433336256141,0.0015797788309636,0.6324431543946748,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_23_36_26/results.csv,
COPOD,OBSEA,2021-01-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,2,{'random_state': 42},,,,8.465744495391846,,,0.5765605241858438,0.6891022245948805,,,0.6319485940810028,../../../../TimeEval_work_results/transfer_learning_results/2024_05_15_04_11_52/results.csv,
LOF,OBSEA,2023-01-09_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.576386213302612,,,0.5382084328249352,0.4741039136119802,0.7357253565593014,0.0,0.6319125372030807,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_18_27_11/results.csv,
DeepAnT,OBSEA,2020-10-17,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",10811.615624427795,,,400.4931318759918,,0.0153267383575439,0.5258102997823835,0.6289208004272557,,,0.6313519348199869,../../../../TimeEval_work_results/imputed_training_data_MSAD_2020/2024_06_09_12_07_09/results.csv,
PCC,OBSEA,2020-05-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,4,"{'random_state': 42, 'svd_solver': 'auto'}",,,,7.485127210617065,,,0.8883669268551164,0.762950082354564,0.667016868143057,0.1126062322946175,0.6303680779848193,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_18/results.csv,
HBOS,OBSEA,2020-06-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",,,,9.782244443893433,,,0.8726488133670307,0.4797163205624735,0.6228984620264625,0.5234375,0.6295829733966137,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_05/results.csv,
PCC,OBSEA,2020-12-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,4,"{'random_state': 42, 'svd_solver': 'auto'}",,,,6.845097780227661,,,0.6313803791675986,0.7845693615602778,0.5950497851346436,0.1770177838577291,0.6283196526556095,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_10_10_25/results.csv,
COPOD,OBSEA,2021-10-04_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,8.853261709213257,,,0.6492150805728942,0.4316712639617116,,,0.6271909675750964,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_21_08_28/results.csv,
COPOD,OBSEA,2020-11-08_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,4,{'random_state': 42},,,,8.42493724822998,,,0.7925311438606515,0.4616166641508382,0.6686495323134022,0.14221140472879,0.6270318298259558,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
COPOD,OBSEA,2020-08-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,4,{'random_state': 42},,,,8.255101919174194,,,0.670201540571911,0.7047561619364179,0.6341952482673918,0.227589908749329,0.6269770406766823,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
RobustPCA,OBSEA,2023-05-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},129.62444281578064,,,11.677247047424316,,,0.8925937130441958,0.3966757363311524,0.6779611534403102,0.3846153846153846,0.6269131845919265,../../../../TimeEval_work_results/for_Oracle23_2/2024_07_12_12_49_18/results.csv,
HBOS,OBSEA,2020-12-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,5,"{'n_bins': 20, 'random_state': 42}",,,,9.94747257232666,,,0.4992505453847676,0.8133932169848253,0.72687962849776,0.0,0.6267440696701395,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_05/results.csv,
COPOD,OBSEA,2020-07-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,9.74613070487976,,,0.4108352930940219,0.6901023831479884,0.8146828854513745,0.000505220613001,0.6241018403735002,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_09_19_43/results.csv,
AutoEncoder (AE),OBSEA,2021-10-01,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.69766354560852,,,8.126945972442627,,,0.7052753460926589,0.4495060771335102,0.6483326160520111,0.2048991354466859,0.623728796996016,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_40_42/results.csv,
COPOD,OBSEA,2020-09-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,9.68349552154541,,,0.806801651222184,0.7635064162708541,0.6753442672355316,0.1900639819345126,0.6229608425213728,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_09_16_38/results.csv,0.5420541537006485
CBLOF,OBSEA,2021-01-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,19.04986071586609,,,0.5437122445131147,0.6603859484513283,,,0.6228185961102839,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_10_57_58/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-12-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",19.95510959625244,,,8.452008724212646,,,0.5573494240384483,0.7395677136483104,,,0.62276960647466,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_21_05_37/results.csv,
CBLOF,OBSEA,2020-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,3,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,11.71704387664795,,,0.5804928735106587,0.6578009128452206,0.6785013343359475,0.0,0.6226373090983176,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
PCC,OBSEA,2021-01-06_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,11.082765102386476,,,0.7387756408762074,0.762314199645365,0.5763284710619943,0.2456721915285451,0.6221847746815485,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_12_07_01/results.csv,
HBOS,OBSEA,2022-08-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,18.50020384788513,,,0.9939424885388504,0.445059043335151,0.6888840340534184,0.1696428571428571,0.622008779471602,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_03_32_11/results.csv,
DeepAnT,OBSEA,2020-09-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",10811.686718940737,,,431.1848499774933,,0.0176613330841064,0.7181848382234169,0.6132775365456041,0.5500545925547169,0.1211893112532931,0.6217827780817002,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_06_08_05_13_04/results.csv,
PCC,OBSEA,2020-12-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,5,"{'random_state': 42, 'svd_solver': 'auto'}",,,,7.352408409118652,,,0.5567287107176823,0.8775147118340286,0.733420502248315,0.0289884451652138,0.6216850722466243,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_18/results.csv,
Hybrid KNN,OBSEA,2020-07-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 288, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",10812.502858638763,,,88.19889760017395,,0.0664634704589843,0.0,0.0,0.3913578650791712,0.0,0.6216435185185185,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_10_22_44_33/results.csv,
Hybrid KNN,OBSEA,2020-11-24,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 351, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",9943.43740963936,,,55.06445074081421,,0.0761942863464355,0.6077335707189697,0.6100038504944018,0.5969428730217418,0.0,0.6214109262888866,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_06_03_09_38_57/results.csv,
CBLOF,OBSEA,2022-05-16_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,19.425998210906982,,,0.9543972876006244,0.4895105942859544,,,0.6213269707143244,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_16_23_41/results.csv,
HBOS,OBSEA,2020-09-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",,,,9.578770399093628,,,0.6315045368660339,0.740042483826402,0.6016921097984653,0.1814146197099733,0.62124919515215,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_49_03/results.csv,
PCC,OBSEA,2021-01-04_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,2,"{'random_state': 42, 'svd_solver': 'auto'}",,,,7.651364088058472,,,0.5366086365537432,0.8920623116505146,0.6830128695148842,0.0,0.6204987446558449,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_02_06_10/results.csv,
PCC,OBSEA,2021-01-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,8.06788969039917,,,0.5354426656018099,0.8429707573403632,0.645551357921514,0.0,0.6203994346324416,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_10_11_32/results.csv,
RobustPCA,OBSEA,2020-12-16,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,5,{'random_state': 42},123.0963921546936,,,7.283452272415161,,,0.461669996305968,0.8317195075887904,0.7606637222014201,0.0,0.6203800780465231,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_11_34_23/results.csv,
CBLOF,OBSEA,2021-01-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,20.05553793907165,,,0.6364323181430251,0.6183188662195896,,,0.6195416421987865,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_11_04_59/results.csv,
AutoEncoder (AE),OBSEA,2020-06-19,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",19.42731356620789,,,7.934103965759277,,,0.6687955881858985,0.5636389615148515,0.6017000467242334,0.3005780346820809,0.619068640276628,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_17_09_29/results.csv,
LOF,OBSEA,2020-11-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,2,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.985620975494385,,,0.5581850442467274,0.5694674859963277,0.7129818435715312,0.0002090738030524,0.6189710737672038,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
CBLOF,OBSEA,2022-08-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,24.44000029563904,,,0.7795656364938583,0.3278227160946624,,,0.6187747738609587,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_17_25_49/results.csv,
COPOD,OBSEA,2020-06-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,2,{'random_state': 42},,,,8.836833238601685,,,0.8868112046576532,0.3609984149406425,0.5906617324501078,0.4700956937799043,0.6187273786131189,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
HBOS,OBSEA,2020-06-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,4,"{'n_bins': 20, 'random_state': 42}",,,,9.360021114349363,,,0.7844141230262742,0.4421363624755263,0.6249397444616656,0.4846266471449487,0.6184184907736343,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_05/results.csv,
RobustPCA,OBSEA,2022-05-16,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},153.2629406452179,,,8.684041023254395,,,0.9577467533325974,0.5937333838116776,0.6891656601352394,0.0027137042062415,0.6173076723859522,../../../../TimeEval_work_results/for_Oracle/2024_06_29_23_29_09/results.csv,
AutoEncoder (AE),OBSEA,2021-02-03,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.86744260787964,,,8.823696613311768,,,0.7094945682851719,0.6949621018726942,0.7029327506951523,0.1079023365712785,0.6171974631656797,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_01_38_06/results.csv,
CBLOF,OBSEA,2020-12-09_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,5,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,17.67620325088501,,,0.5824025644591648,0.5758723047035539,0.6541717595595096,0.0076427036064007,0.6171102126150569,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_09_19_10/results.csv,
LOF,OBSEA,2020-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,4,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.441657066345215,,,0.5799646388690616,0.6172550406695491,0.6781379707490404,0.0,0.6168796065276135,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2021-01-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,10.46054983139038,,,0.5695158792737933,0.6012950794662342,,,0.616875280975697,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_10_57_59/results.csv,
RobustPCA,OBSEA,2021-10-04,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},99.65610480308531,,,7.434984445571899,,,0.5997687456224379,0.4406405265021091,0.6578861077585774,0.0179924242424242,0.6166226154601662,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_41_11/results.csv,
DeepAnT,OBSEA,2020-12-16,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",10811.708610773088,,,411.4427025318146,,0.0166120529174804,0.4754693276957858,0.7613950245974712,0.7627242537615158,0.002828587591929,0.6162651806301468,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_06_11_20_49_14/results.csv,
LOF,OBSEA,2020-12-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.102116107940674,,,0.5676397194576468,0.5578787549628214,0.6962190259261248,0.0002169197396963,0.6162592017530737,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
CBLOF,OBSEA,2020-08-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,3,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,12.6971435546875,,,0.9594586787333016,0.3381297687920585,0.6336233626200152,0.30078125,0.6162458895023072,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_15_34_34/results.csv,
LOF,OBSEA,2020-12-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.028050184249878,,,0.5618411639751815,0.5655972434695791,0.6886196025852878,0.0,0.6160008544135162,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-05-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",19.148212432861328,,,13.433912754058838,,,0.4872092958441272,0.6738762442852486,0.7491066869369144,0.0011848341232227,0.6156825854912477,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_46_23/results.csv,
Hybrid KNN,OBSEA,2020-07-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 340, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",10812.09925031662,,,85.13307785987854,,0.0687358379364013,0.0,0.0,,,0.6153356481481481,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_12_37_25/results.csv,
HBOS,OBSEA,2021-01-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,15.564153671264648,,,0.5262381794833622,0.7833240922331877,0.6210155888798277,0.0,0.6150484382333832,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_44_26/results.csv,
AutoEncoder (AE),OBSEA,2023-05-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",32.73443126678467,,,16.19006037712097,,,0.5321452592932197,0.6567120478804045,0.7486094042585504,0.0,0.614378773559446,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_23_11_19/results.csv,
