algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
RobustPCA,OBSEA,2023-08-24,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},159.53766655921936,,,16.65190076828003,,,0.399462359469533,0.0648512328913332,0.0367294915655695,0.0158730158730158,0.0112019760483551,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_03_19_29/results.csv,
RobustPCA,OBSEA,2022-01-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},101.92624950408936,,,7.060261011123657,,,0.5418074731444718,0.1778192265256515,0.0373396716511286,0.0219780219780219,0.0110829475824892,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_41_11/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-08-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",14.718641757965088,,,10.38192582130432,,,0.6698643942869607,0.0510869592064024,0.0380920766544211,0.9032258064516128,0.0110808387661066,../../../../TimeEval_work_results/for_Oracle/2024_04_14_23_46_49/results.csv,
HBOS,OBSEA,2022-03-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,12.595498323440552,,,0.5406472549329693,0.0610297328798111,0.0398507151920271,0.0,0.011063726399992,../../../../TimeEval_work_results/best4avgens_2122/2024_04_23_01_41_04/results.csv,
RobustPCA,OBSEA,2021-07-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},106.60211515426636,,,7.407217264175415,,,0.6896216460657221,0.0167102462776162,0.0361029517399756,0.064516129032258,0.0110200154456909,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_41_11/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2023-10-04,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",26.46219301223755,,,10.164926528930664,,,0.128226658403681,0.0823403987247019,0.0812960198476753,0.9324324324324323,0.010972383373619,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_23_50_28/results.csv,
COPOD,OBSEA,2022-04-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,6.973639726638794,,,0.5520605841696028,0.0402147723119019,,,0.0109707028631073,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_20_00_16_47/results.csv,
Hybrid KNN,OBSEA,2023-09-02,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 90, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",3004.493107318878,,,58.71792936325073,,0.0155484676361083,0.0210514177997032,0.0579937815769318,0.0415892415545154,0.0,0.0108416185323493,../../../../TimeEval_work_results/for_Oracle23_2/2024_07_13_10_57_23/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-03-20,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.056512355804443,,,8.97239899635315,,,0.3156220915265648,0.0563205539323226,0.0318919611482065,0.0,0.0108170214671921,../../../../TimeEval_work_results/for_Oracle/2024_04_14_23_46_49/results.csv,
RobustPCA,OBSEA,2020-07-21,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,2,{'random_state': 42},129.44102478027344,,,7.74836540222168,,,0.5394840805717999,0.0322060342127659,0.0367521240963396,0.2555555555555555,0.0107489585819012,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_37_03/results.csv,
Hybrid KNN,OBSEA,2020-10-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 93, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",2237.514346837997,,,40.04536032676697,,0.0133016109466552,0.4829686575990538,0.0107060185185185,0.04192593513872,0.0,0.0107060185185185,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_06_02_13_24_02/results.csv,
LOF,OBSEA,2021-08-08_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,18.48425579071045,,,0.8150081187659475,0.0097760646496914,,,0.0106974629254516,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_11_47_12/results.csv,
LOF,OBSEA,2020-09-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,2,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.325375080108644,,,0.5951608456856883,0.0135621144912361,0.0272683072626511,0.5151515151515151,0.0106911453356447,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
COPOD,OBSEA,2023-09-06_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,21.330023050308228,,,0.440558608058608,0.023505578051054,0.030177119462627,0.0,0.0106131127090078,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_12_40/results.csv,
HBOS,OBSEA,2020-07-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,4,"{'n_bins': 20, 'random_state': 42}",,,,9.488855361938477,,,0.4425029239766082,0.0310210928370266,0.052922598456777,0.7888888888888889,0.0106121681082616,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_05/results.csv,
COPOD,OBSEA,2022-03-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,7.535167455673218,,,0.5172048029190887,0.0524993993308028,,,0.0105686071152134,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_23_34_43/results.csv,
RobustPCA,OBSEA,2020-02-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},120.30919933319092,,,7.2841246128082275,,,0.5215486934401428,0.0482449695633402,,,0.0105539826649888,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_19_30_01/results.csv,
RobustPCA,OBSEA,2023-09-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},203.3744249343872,,,13.1478750705719,,,0.1064002403846154,0.1360164438074957,0.0392605850780977,0.0,0.0105507882272984,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_04_36_37/results.csv,
COPOD,OBSEA,2023-07-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,21.029700994491577,,,0.7848866498740554,0.020294781380621,0.0292882932779063,0.3,0.0104713797054423,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_31_35/results.csv,
HBOS,OBSEA,2023-08-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,17.793622970581055,,,0.5667920187234718,0.0203814515778356,0.0412323711480348,0.9466666666666668,0.0104307638837515,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_47_37/results.csv,
AutoEncoder (AE),OBSEA,2020-05-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",21.764614582061768,,,10.011439561843872,,,0.2666717569609774,0.1598738577954142,0.0327589097816412,0.0354609929078014,0.010398964429457,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_10_22_44_42/results.csv,0.0321184510250569
Hybrid KNN,OBSEA,2020-02-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,5,"{'anomaly_window_size': 91, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",4690.801624059677,,,71.7300033569336,,0.0199224948883056,0.5066488079706,0.0075193133893306,0.0383881491143358,0.0,0.0103085613448009,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_17_56/results.csv,0.0383885256275047
RobustPCA,OBSEA,2021-07-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},81.08752083778381,,,7.689410448074341,,,0.0768043327845775,0.0793141393258952,0.0382243012145947,0.0,0.0102213435709523,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_41_11/results.csv,
COPOD,OBSEA,2023-08-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,18.934804677963257,,,0.5955317545321116,0.0290240904559767,0.0262807283129782,0.4666666666666667,0.0102174431581768,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_47_38/results.csv,
COPOD,OBSEA,2020-03-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,5,{'random_state': 42},,,,9.278774738311768,,,0.5355417187795244,0.0814318607286594,0.0305772388223109,0.1098901098901098,0.0102063640198932,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
AutoEncoder (AE),OBSEA,2021-08-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",16.659882068634033,,,9.044145107269289,,,0.6043460766100828,0.0368571179014745,0.0425487012434432,0.967741935483871,0.0101800053728312,../../../../TimeEval_work_results/for_Oracle/2024_04_14_23_46_31/results.csv,
DeepAnT,OBSEA,2020-01-06,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",10811.73789215088,,,615.3574056625366,,0.0282413959503173,0.4931429548343807,0.0214607670437008,,,0.010155768306735,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_20_01_55_08/results.csv,
COPOD,OBSEA,2022-02-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,6.948317289352417,,,0.2368794925289929,0.0759657367891703,,,0.0100506060546534,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_23_16_41/results.csv,
COPOD,OBSEA,2021-12-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,8.333029985427856,,,0.8968191766236838,0.013778735655578,,,0.0100478520076532,../../../../TimeEval_work_results/transfer_learning_results/2024_05_15_00_30_36/results.csv,
PCC,OBSEA,2023-06-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,9.186208724975586,,,0.7331912374185909,0.0251367832521499,0.0359564986772922,0.0,0.0096988264561949,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_21_08_29/results.csv,
Hybrid KNN,OBSEA,2022-05-04,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 119, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",10811.803457736967,,,38.95100951194763,,0.0240113735198974,0.2496181710968543,0.0311908153522383,0.0375864915905365,0.0,0.0096511701911482,../../../../TimeEval_work_results/for_Oracle/2024_05_31_06_12_13/results.csv,
