algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,RANGE_PR_AUC,result_path,BestF1Score,FalseNegativeRate,train_postprocess_time,Recommendation_ACC
PCC,OBSEA,2022-03-17_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,9.366647481918337,,Status.OK,,3,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_07_56_10/results.csv,0.0,0.0,,0.0
AutoEncoder (AE),OBSEA,2021-11-05,semi-supervised,multivariate,multivariate,semi-supervised,,21.000030279159542,,8.555099964141846,,Status.OK,,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",b98f98446ffdbf7f8a0cb80942138c22,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_03_05_19/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2022-09-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.822454214096069,,Status.OK,,2,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_21_18_09/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2022-12-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,6.6868085861206055,,Status.OK,,3,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_06_17_59/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-05-08_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,16.2627055644989,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_07_58_11/results.csv,0.0,0.0,,0.0
AutoEncoder (AE),OBSEA,2022-04-29,semi-supervised,multivariate,multivariate,semi-supervised,,28.830427646636963,,10.795714855194092,,Status.OK,,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dc234b17555e618106e747494bd37087,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_14_38_28/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2021-03-17_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,11.51224422454834,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_06_25_34/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-08-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,16.573090076446533,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,0.3964436703804052,0.0980147795077353,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_18_50_23/results.csv,0.0763921046211792,0.1779661016949152,,0.0
PCC,OBSEA,2021-09-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.664175987243652,,Status.OK,,3,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.6412361166423293,0.3884789460178485,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_01_59_09/results.csv,0.3604760302264759,0.5,,0.0
PCC,OBSEA,2022-09-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,9.981611967086792,,Status.OK,,2,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.4723974457081443,0.1507683218754007,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_22_04_23/results.csv,0.1821958282922476,0.6359281437125749,,0.0
