Algorithm,Accuracy
DenoisingAutoEncoder (DAE),0.4466839056897226
DenoisingAutoEncoder (DAE),0.686131093888798
DenoisingAutoEncoder (DAE),0.6093632183339719
DenoisingAutoEncoder (DAE),0.6485215408861258
DenoisingAutoEncoder (DAE),0.5785387440175339
HBOS,0.0
HBOS,0.0
HBOS,0.0997433864351848
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0277912371173509
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0546068455366751
HBOS,0.3863577976456029
HBOS,0.0
HBOS,0.1792669914899344
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.5100593681051333
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0226156829214613
HBOS,0.0
HBOS,0.0
HBOS,0.027216719722621
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0398507151920271
HBOS,0.0
HBOS,0.0
HBOS,0.410260995090161
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.2684589662511862
HBOS,0.0992440859509004
HBOS,0.0
HBOS,0.1274249284918574
HBOS,0.2207387047348744
HBOS,0.1346207007456853
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0467140219318631
HBOS,0.5724380193284826
HBOS,0.0
HBOS,0.0206159911318527
HBOS,0.0
HBOS,0.1244404194757148
HBOS,0.0669132190640146
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.2422418148913166
HBOS,0.0180643835769632
HBOS,0.0285610376547386
HBOS,0.4329257359674742
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.1101137709615037
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0812266575456952
HBOS,0.0
HBOS,0.0
HBOS,0.004639115572585
HBOS,0.0551233363212134
HBOS,0.1262752989353072
