algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,RANGE_PR_AUC,result_path,BestF1Score,FalseNegativeRate,train_postprocess_time,Recommendation_ACC
Torsk,OBSEA,2021-09-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,2448.6877110004425,0.0214381217956542,Status.OK,,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,0.5475370375715766,0.0740901180200341,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_06_51_55/results.csv,0.2301930765508645,0.8302919708029197,,0.0
Torsk,OBSEA,2022-05-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,757.0317792892456,0.0055372714996337,Status.OK,,2,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_13_39_14/results.csv,0.0,0.0,,0.0
AutoEncoder (AE),OBSEA,2021-12-01,semi-supervised,multivariate,multivariate,semi-supervised,,28.62399005889893,,10.652944326400757,,Status.OK,,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dc234b17555e618106e747494bd37087,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_03_47_24/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2022-03-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,8.287656784057617,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.5258159172523564,0.1023061669342174,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_14_20_20/results.csv,0.0711693348150772,0.0876288659793814,,0.0
PCC,OBSEA,2022-05-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,9.410715103149414,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_19_36_33/results.csv,0.0,0.0,,0.0
AutoEncoder (AE),OBSEA,2022-05-20,semi-supervised,multivariate,multivariate,semi-supervised,,17.15700936317444,,8.172078609466553,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_22_23_37/results.csv,0.0,0.0,,0.0
AutoEncoder (AE),OBSEA,2021-12-17,semi-supervised,multivariate,multivariate,semi-supervised,,17.149658203125,,7.473385334014893,,Status.OK,,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_01_48_25/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-08-01_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,16.719902753829956,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,0.5540784196628606,0.3196098859832542,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_17_48_05/results.csv,0.2494585422593011,0.5155131264916468,,0.0
AutoEncoder (AE),OBSEA,2022-07-23,semi-supervised,multivariate,multivariate,semi-supervised,,17.263482570648193,,8.61060643196106,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,0.5554784615798081,0.2081535203657351,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_12_31_59/results.csv,0.2653750789928125,0.7679324894514767,,0.0
PCC,OBSEA,2021-11-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,8.571155786514282,,Status.OK,,2,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_07_57_06/results.csv,0.0,0.0,,0.0
AutoEncoder (AE),OBSEA,2021-12-12,semi-supervised,multivariate,multivariate,semi-supervised,,22.87734580039978,,9.85965657234192,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dc234b17555e618106e747494bd37087,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_03_15_26/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2022-04-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,9.725913286209106,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.6566419310015053,0.087779830128562,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_04_26_33/results.csv,0.0806893641068975,0.6923076923076923,,0.0
AutoEncoder (AE),OBSEA,2021-11-01,semi-supervised,multivariate,multivariate,semi-supervised,,24.36374402046204,,9.899568796157835,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dc234b17555e618106e747494bd37087,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_07_40_03/results.csv,0.0,0.0,,0.0
AutoEncoder (AE),OBSEA,2022-05-02,semi-supervised,multivariate,multivariate,semi-supervised,,25.04829263687133,,10.443918943405151,,Status.OK,,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_12_53_04/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-03-01_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,10.862492322921751,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_08_38_15/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-03-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,11.279723882675173,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_00_36_06/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2022-02-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,5.820199251174927,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_20_05_13/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2021-12-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,10.547977685928345,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_00_07_26/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-03-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,9.888596057891846,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_22_30_21/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2021-10-07_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,9.945095539093018,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,0.5886221685638726,0.275597271774794,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_19_17_29/results.csv,0.3915848129688431,0.4794871794871795,,0.0
AutoEncoder (AE),OBSEA,2022-03-27,semi-supervised,multivariate,multivariate,semi-supervised,,24.385092735290527,,9.123775482177734,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dc234b17555e618106e747494bd37087,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_15_24_50/results.csv,0.0,0.0,,0.0
Torsk,OBSEA,2022-01-06_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,2313.194511175156,0.0171318054199218,Status.OK,,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_16_40_49/results.csv,0.0,0.0,,0.0
Torsk,OBSEA,2021-10-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,1428.799384355545,0.007941722869873,Status.OK,,3,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_14_26_26/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2021-11-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,13.980751991271973,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_14_46_29/results.csv,0.0,0.0,,0.0
Torsk,OBSEA,2021-08-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,1590.8969993591309,0.0137348175048828,Status.OK,,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,0.6974360164692438,0.0296963920562855,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_03_01_19/results.csv,0.1122785685009804,0.5375722543352601,,0.0
AutoEncoder (AE),OBSEA,2021-08-20,semi-supervised,multivariate,multivariate,semi-supervised,,21.47892689704895,,9.565145015716553,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,0.6860715371514696,0.1302398677069761,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_06_26_19/results.csv,0.2426222224792454,0.4531835205992509,,0.0
AutoEncoder (AE),OBSEA,2021-12-02,semi-supervised,multivariate,multivariate,semi-supervised,,20.875130653381348,,8.430478572845459,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_08_50_14/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2021-12-01_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.640225648880005,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_03_37_28/results.csv,0.0,0.0,,0.0
PCC,OBSEA,2021-03-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.356109380722046,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_06_41_22/results.csv,0.0,0.0,,0.0
Torsk,OBSEA,2021-11-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,862.814670085907,0.0164394378662109,Status.OK,,2,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_00_02_23/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-05-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,19.24836158752441,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_00_25_05/results.csv,0.0,0.0,,0.0
AutoEncoder (AE),OBSEA,2022-08-27,semi-supervised,multivariate,multivariate,semi-supervised,,28.23300576210022,,14.373411178588867,,Status.OK,,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_18_54_22/results.csv,0.0,0.0,,0.0
HBOS,OBSEA,2022-09-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,15.256410598754885,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,0.3760776248925051,0.0850832960633039,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_05_25_49/results.csv,0.0866831608018219,0.0953678474114441,,0.0
HBOS,OBSEA,2022-07-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,16.11040425300598,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,0.85610033918542,0.0690456575840139,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_10_03_24/results.csv,0.1457980322890854,0.4457831325301205,,0.0
HBOS,OBSEA,2022-02-08_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,15.350169658660889,,Status.OK,,2,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,0.6121126481013258,0.0427564739375251,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_00_51_38/results.csv,0.0461033226606154,0.2197802197802197,,0.0
HBOS,OBSEA,2022-04-07_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,13.559837818145752,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_19_36_35/results.csv,0.0,0.0,,0.0
