,LOF
OBSEA/2021-08-19.out,0.3450134770889488
OBSEA/2021-08-20.out,0.30188679245283023
OBSEA/2021-08-21.out,0.3342318059299192
OBSEA/2021-08-23.out,0.22371967654986524
OBSEA/2021-08-24.out,0.2506738544474394
OBSEA/2021-08-25.out,0.2964959568733153
OBSEA/2021-08-26.out,0.3045822102425876
OBSEA/2021-08-27.out,0.284366576819407
OBSEA/2021-08-28.out,0.3205387906991116
OBSEA/2021-08-29.out,0.10576617624013583
OBSEA/2021-08-30.out,0.4142268658098165
OBSEA/2021-08-31.out,0.23315363881401618
OBSEA/2021-09-01.out,0.24528301886792447
OBSEA/2021-09-02.out,0.33692722371967654
OBSEA/2021-09-03.out,0.4811320754716981
OBSEA/2021-09-04.out,0.3261455525606469
OBSEA/2021-09-05.out,0.3504043126684636
OBSEA/2021-09-06.out,0.0826419304470607
OBSEA/2021-09-07.out,0.07973411885535003
OBSEA/2021-09-08.out,0.23508615159086685
OBSEA/2021-09-09.out,0.3692722371967655
OBSEA/2021-09-10.out,0.34905660377358494
OBSEA/2021-09-11.out,0.3207547169811321
OBSEA/2021-09-12.out,0.3463611859838275
OBSEA/2021-09-13.out,0.052748829967266445
OBSEA/2021-09-14.out,0.3692722371967655
OBSEA/2021-09-15.out,0.250062316236129
OBSEA/2021-09-16.out,0.3463611859838275
OBSEA/2021-09-17.out,0.2681940700808625
OBSEA/2021-09-18.out,0.3975741239892183
OBSEA/2021-09-19.out,0.2991913746630728
OBSEA/2021-09-20.out,0.2964959568733153
OBSEA/2021-09-21.out,0.0025051130099155135
OBSEA/2021-09-22.out,0.2695417789757413
OBSEA/2021-09-23.out,0.4029649595687331
OBSEA/2021-09-24.out,0.36657681940700804
OBSEA/2021-09-25.out,0.37196765498652296
OBSEA/2021-09-26.out,0.2978436657681941
OBSEA/2021-09-27.out,0.3328840970350404
OBSEA/2021-09-28.out,0.3692722371967655
OBSEA/2021-09-29.out,0.3504043126684636
OBSEA/2021-09-30.out,0.7643342162670845
OBSEA/2021-10-01.out,0.6023806839781154
OBSEA/2021-10-02.out,0.7409983600544435
OBSEA/2021-10-03.out,0.22166429912919436
OBSEA/2021-10-04.out,0.4058539858702217
OBSEA/2021-10-05.out,0.16728474531074422
OBSEA/2021-10-06.out,0.19420546867110183
OBSEA/2021-10-07.out,0.2560646900269542
OBSEA/2021-10-08.out,0.2991913746630728
OBSEA/2021-10-09.out,0.23687365641331898
OBSEA/2021-10-10.out,0.29514824797843664
OBSEA/2021-10-11.out,0.27762803234501343
OBSEA/2021-10-12.out,0.3274932614555256
OBSEA/2021-10-13.out,0.3086253369272237
OBSEA/2021-10-14.out,0.40161725067385445
OBSEA/2021-10-15.out,0.33018867924528306
OBSEA/2021-10-16.out,0.3099730458221024
OBSEA/2021-10-17.out,0.30592991913746626
OBSEA/2021-10-18.out,0.3221024258760108
OBSEA/2021-10-19.out,0.3328840970350404
OBSEA/2021-10-20.out,0.284366576819407
OBSEA/2021-10-21.out,0.2911051212938005
OBSEA/2021-10-22.out,0.3692722371967655
OBSEA/2021-10-23.out,0.19946091644204855
OBSEA/2021-10-24.out,0.35444743935309975
OBSEA/2021-10-25.out,0.30053908355795145
OBSEA/2021-10-28.out,0.34770889487870615
OBSEA/2021-10-29.out,0.4164420485175202
OBSEA/2021-10-30.out,0.3140161725067385
OBSEA/2021-10-31.out,0.37735849056603776
OBSEA/2021-11-01.out,0.37735849056603776
OBSEA/2021-11-02.out,0.34366576819407013
OBSEA/2021-11-03.out,0.31805929919137466
OBSEA/2021-11-04.out,0.2978436657681941
OBSEA/2021-11-05.out,0.33018867924528306
OBSEA/2021-11-06.out,0.30727762803234504
OBSEA/2021-11-07.out,0.32884097035040427
OBSEA/2021-11-08.out,0.30592991913746626
OBSEA/2021-11-09.out,0.22506738544474392
OBSEA/2021-11-10.out,0.3867924528301887
OBSEA/2021-11-11.out,0.3638814016172507
OBSEA/2021-11-12.out,0.33018867924528306
OBSEA/2021-11-15.out,0.06358088498783515
OBSEA/2021-11-16.out,0.3086253369272237
OBSEA/2021-11-17.out,0.30727762803234504
OBSEA/2021-11-18.out,0.30727762803234504
OBSEA/2021-11-19.out,0.28167115902964956
OBSEA/2021-11-20.out,0.2964959568733153
OBSEA/2021-11-21.out,0.3679245283018868
OBSEA/2021-11-22.out,0.2749326145552561
OBSEA/2021-11-23.out,0.2857142857142857
OBSEA/2021-11-24.out,0.40161725067385445
OBSEA/2021-11-25.out,0.2964959568733153
OBSEA/2021-11-26.out,0.3045822102425876
OBSEA/2021-11-27.out,0.36522911051212936
