,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31
2020-06-24.out.22,8.0,0.984417,0.8025339,0.5221307,0.3478261,0.4690815,0.4311892,0.3175122,0.3705615,0.2947768,0.1053152,0.3402476,0.2341491,0.4160322,0.4993953,0.4690815,0.5524446,0.7191708,0.5827584,0.6130723,0.6206508,0.4993953,0.3932968,0.461503,0.4993953,0.4918169,0.5372877,0.5145523,0.6585431,0.6282292,0.6509646,0.6054938,0.6130723
2020-06-24.out.23,8.0,0.6964354,0.5903369,0.5448661,0.5903369,0.57518,0.5524446,0.57518,0.4842384,0.5221307,0.5600231,0.4690815,0.47666,0.4918169,0.5600231,0.3478261,0.5448661,0.6812785,0.787377,0.7343277,0.6585431,0.57518,0.5676015,0.5069738,0.4387676,0.3099337,0.1810999,0.4690815,0.5979154,0.4690815,0.3175122,0.1280506,0.1583645
2020-06-24.out.24,8.0,0.3554045,0.5221307,0.5297092,0.5827584,0.4993953,0.5524446,0.5372877,0.4539246,0.5221307,0.5600231,0.6206508,0.7343277,0.6661216,0.57518,0.6054938,0.6433862,0.6509646,0.6433862,0.6964354,0.7115923,0.7343277,0.6282292,0.7797985,0.7646416,0.7570631,0.7797985,0.9086324,0.9616817,0.8025339,0.7494847,0.9692601,0.8555832
2020-06-24.out.25,8.0,0.8555832,0.6812785,0.7722201,0.7570631,0.8555832,0.9768386,0.8404262,0.8101124,0.7343277,0.7570631,0.8404262,0.7797985,0.8555832,0.9086324,0.9768386,0.9237893,0.8025339,0.5979154,0.5827584,0.4842384,0.3554045,0.4539246,0.0825798,-0.0462541,-0.0462541,0.052266,0.1886783,0.2568845,0.3781399,0.4008753,0.6888569,0.8783185
2020-06-24.out.26,8.0,0.8025339,0.7570631,0.787377,0.6888569,0.7570631,0.7343277,0.7343277,0.6888569,0.7040139,0.6737,0.6964354,0.8101124,0.6964354,0.5524446,0.5372877,0.6433862,0.6964354,0.7570631,0.6964354,0.8404262,0.7040139,0.9541032,0.8328478,0.8783185,0.9162109,1.1056725,0.9768386,0.9919955,1.0147309,1.0223094,0.8176908,0.7191708
2020-06-24.out.27,8.0,0.7570631,0.57518,0.6054938,0.7419062,0.9086324,0.6585431,0.5221307,0.5145523,0.5221307,0.5145523,0.5903369,0.6130723,0.4236107,0.5372877,0.3478261,0.3705615,0.2114137,0.3478261,0.3250907,0.3250907,0.1886783,0.4008753,0.3175122,0.4463461,0.4084538,0.4690815,0.5372877,0.4690815,0.461503,0.5372877,0.57518,0.5372877
2020-06-24.out.28,8.0,0.6964354,0.6888569,0.4993953,0.5372877,0.4918169,0.47666,0.5069738,0.6130723,0.6054938,0.5372877,0.4463461,0.362983,0.3099337,0.4387676,0.4160322,0.4236107,0.461503,0.4008753,0.3554045,0.3478261,0.4463461,0.249306,0.1810999,0.3023553,0.3250907,0.4084538,0.4160322,0.4008753,0.3402476,0.3554045,0.3402476,0.3326691
2020-06-24.out.29,8.0,0.362983,0.4311892,0.3932968,0.4008753,0.3554045,0.4236107,0.4690815,0.6282292,0.6812785,0.6054938,0.6206508,0.5827584,0.8707401,0.8707401,0.6130723,0.6737,0.6585431,0.5827584,0.7949554,0.6509646,0.461503,0.4236107,0.5221307,0.57518,0.7267493,0.4993953,0.3478261,0.3781399,0.3932968,0.3326691,0.4539246,0.1810999
2020-06-24.out.30,8.0,0.2417276,0.2341491,0.249306,0.2871984,0.2796199,0.5145523,0.6737,0.6964354,0.5524446,0.6206508,0.6358077,0.6737,0.4008753,0.4084538,0.5372877,0.4918169,0.4539246,0.5297092,0.6282292,0.8025339,0.8404262,0.7570631,0.8252693,0.6282292,0.5903369,0.5524446,0.5145523,0.3250907,0.8025339,0.7722201,0.7570631,0.6358077
2020-06-24.out.31,8.0,0.9768386,1.0905155,1.1511433,0.9768386,0.5903369,0.7570631,0.6585431,0.8707401,1.1056725,1.0753586,0.9162109,0.6206508,0.47666,0.4690815,0.47666,0.5827584,0.5221307,0.6737,0.7040139,0.7646416,0.7191708,0.5979154,0.6358077,0.7115923,0.7570631,0.7797985,0.8176908,0.9616817,0.6433862,1.0602017,1.0071524,0.9616817
2020-06-24.out.32,8.0,0.8252693,0.7646416,0.6585431,0.6661216,0.7343277,0.9692601,0.9692601,0.9616817,1.0526232,1.0753586,1.1814571,1.196614,1.1435648,0.984417,1.0071524,0.8707401,0.6509646,0.8707401,0.8480047,0.8328478,0.9465247,0.9389463,0.984417,1.0526232,1.098094,1.0526232,1.0677801,1.0829371,0.984417,0.9616817,0.9541032,0.9692601
