,COPOD
OBSEA/2020-06-28.out,0.1259105098855359
OBSEA/2020-06-29.out,0.5882352941176471
OBSEA/2020-06-30.out,0.4474097331240188
OBSEA/2020-07-01.out,0.0
OBSEA/2020-07-02.out,0.4325068870523416
OBSEA/2020-07-03.out,0.058095238095238
OBSEA/2020-07-04.out,0.1159844054580896
OBSEA/2020-07-05.out,0.0
OBSEA/2020-07-06.out,0.0145903479236812
OBSEA/2020-07-07.out,0.1435613062230437
OBSEA/2020-07-08.out,0.4472271914132379
OBSEA/2020-07-09.out,0.3254023792862141
OBSEA/2020-07-10.out,0.1145007923930269
OBSEA/2020-07-11.out,0.3941394964919521
OBSEA/2020-07-12.out,0.1228070175438596
OBSEA/2020-07-14.out,0.0
OBSEA/2020-07-15.out,0.1430005017561465
OBSEA/2020-07-16.out,0.2977551884794578
OBSEA/2020-07-17.out,0.0
OBSEA/2020-07-18.out,0.2176086120722798
OBSEA/2020-07-19.out,0.4905290659699542
OBSEA/2020-07-20.out,0.2801932367149758
OBSEA/2020-07-21.out,0.7555555555555555
OBSEA/2020-07-22.out,0.0
OBSEA/2020-07-23.out,0.0
OBSEA/2020-07-24.out,0.3947368421052631
OBSEA/2020-07-25.out,0.0
OBSEA/2020-07-26.out,0.2361313868613138
OBSEA/2020-07-27.out,0.7380952380952381
OBSEA/2020-07-28.out,0.0631578947368421
OBSEA/2020-08-01.out,0.915129151291513
OBSEA/2020-08-02.out,0.4292114695340502
OBSEA/2020-08-03.out,0.7528089887640449
OBSEA/2020-08-04.out,0.3456048084147258
OBSEA/2020-08-05.out,0.0
OBSEA/2020-08-06.out,0.3463203463203463
OBSEA/2020-08-07.out,0.1776859504132231
OBSEA/2020-08-08.out,0.0
OBSEA/2020-08-09.out,0.0
OBSEA/2020-08-10.out,0.0
OBSEA/2020-08-11.out,0.243605359317905
OBSEA/2020-08-12.out,0.2728410513141426
OBSEA/2020-08-13.out,0.7579908675799086
OBSEA/2020-08-14.out,0.2588147036759189
OBSEA/2020-08-15.out,0.0
OBSEA/2020-08-16.out,0.5147058823529411
OBSEA/2020-08-17.out,0.3004926108374384
OBSEA/2020-08-18.out,0.0516949152542372
OBSEA/2020-08-19.out,0.0664383561643835
OBSEA/2020-08-20.out,0.4798099762470308
OBSEA/2020-08-21.out,0.0
OBSEA/2020-08-22.out,0.3183760683760683
OBSEA/2020-08-23.out,0.421875
OBSEA/2020-08-24.out,0.6747437092264679
OBSEA/2020-08-25.out,0.328695652173913
OBSEA/2020-08-26.out,0.139678192399863
OBSEA/2020-08-27.out,0.4931895573212259
OBSEA/2020-08-28.out,0.2971634398919405
OBSEA/2020-08-29.out,0.227589908749329
OBSEA/2020-08-30.out,0.0
OBSEA/2020-08-31.out,0.1036974075648108
OBSEA/2020-09-01.out,0.6592356687898089
OBSEA/2020-09-02.out,0.3002754820936639
OBSEA/2020-09-03.out,0.1400795404330534
OBSEA/2020-09-04.out,0.0470626419993508
OBSEA/2020-09-05.out,0.249748490945674
OBSEA/2020-09-06.out,0.0502549162418062
OBSEA/2020-09-07.out,0.1019853141147674
OBSEA/2020-09-08.out,0.0
OBSEA/2020-09-09.out,0.2420826623725174
OBSEA/2020-09-10.out,0.0160919540229885
OBSEA/2020-09-11.out,0.0
OBSEA/2020-09-12.out,0.0
