,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15
2020-04-24.out.53,3.0,0.197392,0.2017875,0.2042097,0.2085882,0.2102875,0.2128016,0.2170933,0.2220654,0.2240522,0.2314329,0.2372231,0.2360903,0.2417238,0.2416984,0.2434538,0.2444863
2020-04-24.out.54,3.0,0.250882,0.2496845,0.2495178,0.251365,0.2547465,0.2562026,0.2597355,0.2616303,0.2639964,0.271603,0.284547,0.2741781,0.2707712,0.2732852,0.2751494,0.276374
2020-04-24.out.55,3.0,0.2802249,0.2796194,0.2803032,0.2872565,0.2881494,0.2897568,0.2851949,0.2855436,0.2908147,0.2928013,0.289983,0.2909372,0.2934239,0.2835434,0.2887413,0.2960296
2020-04-24.out.56,3.0,0.2981642,0.2997716,0.2981813,0.3013177,0.3031648,0.3044847,0.3038315,0.2979192,0.3139551,0.3136506,0.3125127,0.2166288,0.258298,0.2724226,0.2818508,0.2861252
2020-04-24.out.57,3.0,0.2902771,0.2911871,0.2947028,0.2913708,0.2905391,0.2959938,0.285899,0.2910833,0.2930258,0.2967813,0.3023756,0.3040271,0.3090889,0.3141472,0.3149705,0.3174537
2020-04-24.out.58,3.0,0.3181375,0.3179419,0.3205952,0.3208962,0.3204303,0.3210664,0.3222043,0.3201004,0.3258288,0.3249665,0.3230411,0.3266792,0.3272677,0.3273153,0.3298632,0.3318328
2020-04-24.out.59,3.0,0.3338635,0.3345609,0.3377754,0.340808,0.3422197,0.3410088,0.3448253,0.3441892,0.3452658,0.3432963,0.3572241,0.3908375,0.415375,0.4206028,0.4184073,0.4194532
2020-04-24.out.60,3.0,0.4159379,0.4269717,0.4325345,0.4373217,0.4409763,0.4438384,0.4464301,0.4498415,0.450299,0.4589974,0.4656006,0.4697568,0.4715117,0.4728007,0.4742734,0.4804105
2020-04-24.out.61,3.0,0.4843914,0.473651,0.4769262,0.4777459,0.4825022,0.481487,0.4870017,0.4927901,0.4948069,0.4983082,0.4786998,0.5012925,0.5046901,0.5107964,0.4713825,0.4878996
2020-04-24.out.62,3.0,0.4940231,0.494006,0.4950824,0.4946114,0.4969768,0.4985973,0.498009,0.5006753,0.5027958,0.5020119,0.5067681,0.5093731,0.5094649,0.5083767,0.5129968,0.5275574
2020-04-24.out.63,3.0,0.5305756,0.5299227,0.5317999,0.5360287,0.5347569,0.5405449,0.5411026,0.5567254,0.5576793,0.5606361,0.5631798,0.5628618,0.5588338,0.5694862,0.5694386,0.5771817
2020-04-24.out.64,3.0,0.5851202,0.5877862,0.5945752,0.6002897,0.6036033,0.6079065,0.6048361,0.6038958,0.6061078,0.6109244,0.607031,0.6072146,0.6123797,0.6190461,0.6155931,0.6186075
