,AutoEncoder (AE),DenoisingAutoEncoder (DAE),DeepAnT,Random Black Forest (RR),PCC,HBOS,Torsk,Hybrid KNN,COPOD,RobustPCA
OBSEA/2021-12-09.out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546665226533344
OBSEA/2020-09-15.out,0.5622723537456225,0.5622723537456225,0.5967079439313723,0.523218078679069,0.4262904815420792,0.5622723537456225,0.4405299553473282,0.5622723537456225,0.1536659595779386,0.5623191397278681
OBSEA/2020-12-04.out,0.9945839336677798,0.9945839336677798,0.9945839336677798,0.0,0.9945839336677798,0.9945839336677798,0.876871224820485,0.0,0.9945839336677798,0.9945839336677798
OBSEA/2021-01-20.out,0.7808616151796564,0.7808616151796564,0.7866334650296677,0.6823801072119496,0.7808616151796564,0.7808616151796564,0.4756083178300033,0.0,0.773584024676704,0.7808616151796564
OBSEA/2022-07-27.out,0.0190956350932725,0.0,0.0,0.0,0.0210097908435073,0.0,0.0,0.0,0.0143605612068789,0.0416662586845503
OBSEA/2021-09-01.out,0.0,0.0,0.0,0.0,0.0519515433753542,0.0,0.0,0.0206467330350853,0.0,0.0206585812705769
OBSEA/2021-08-19.out,0.0,0.0268559346954245,0.0,0.0004394470647724,0.0421638572967759,0.0,0.0,0.0553233467916221,0.0,0.0
OBSEA/2022-06-03.out,0.2458833017220714,0.0,0.1822594441528982,0.0,0.0,0.1792669914899344,0.0,0.0,0.1770447453187352,0.0
OBSEA/2020-09-04.out,0.5257191858938945,0.5257191858938945,0.5020044409911617,0.2392081015636601,0.5251764898906016,0.3844424598456766,0.3649056595166512,0.0,0.5219805577813409,0.5257191858938945
OBSEA/2022-05-06.out,0.0237875051188881,0.0237875051188881,0.0,0.0,0.0,0.0997433864351848,0.0,0.0239133070694861,0.0,0.0
OBSEA/2022-08-12.out,0.2964253416779658,0.2389874982007602,0.2987840111389862,0.0,0.0,0.0,0.0,0.0,0.0883636685799003,0.0
OBSEA/2020-07-09.out,0.0478179844489927,0.0377314665913138,0.1694192700456191,0.3940932812902791,0.1490869823565263,0.0844823588857632,0.0093233264565707,0.2838390581294446,0.1386123618693213,0.1563723360440355
OBSEA/2022-09-11.out,0.3901589612694006,0.0848491276600467,0.3901589612694006,0.0,0.0,0.0180643835769632,0.0,0.0,0.345999964250019,0.0
OBSEA/2020-10-15.out,0.2108815538358436,0.2098810593884252,0.2347059913983451,0.2213462233603647,0.2249793433265044,0.2098810593884252,0.1329791265970197,0.0,0.2100333680094691,0.2154376078126435
OBSEA/2020-12-08.out,0.625612248179316,0.6255127231705948,0.6345306150261407,0.4659899714304292,0.417669131095458,0.5741445466462838,0.1453917163596283,0.0,0.4521350229175128,0.6255127231705948
OBSEA/2020-12-15.out,0.8444514537511298,0.844875136386029,0.8444514537511298,0.793642201458107,0.8444514537511298,0.8444514537511298,0.7731722804717118,0.8444514537511298,0.8444514537511298,0.8444514537511298
OBSEA/2022-07-08.out,0.1787540313625385,0.0446952697250633,0.4377003114445971,0.0,0.2337272064551543,0.4099863366333206,0.0,0.0,0.3947320788100049,0.4372252377090913
OBSEA/2022-09-02.out,0.31414369346194,0.31414369346194,0.3330852230256436,0.0,0.0,0.0246804427464373,0.0,0.0,0.0751072837773147,0.0819040623973468
OBSEA/2022-07-10.out,0.0,0.1776542521365379,0.0,0.0,0.2735747201780517,0.2764614803486098,0.0,0.0,0.2814502199835844,0.177710495617962
OBSEA/2020-07-08.out,0.2291667728074712,0.2291902626635005,0.2584948589788695,0.2315745130947561,0.0,0.0,0.0,0.2291432877659291,0.0,0.2291432877659291
OBSEA/2021-09-12.out,0.0,0.0,0.0,0.0,0.0473904370269417,0.0591139208453047,0.0,0.0,0.0568981315643127,0.0686482842523959
OBSEA/2020-01-05.out,0.1034984937924436,0.1034984937924436,0.0734109319184521,0.097104024627748,0.0733717585145834,0.0616931766359549,0.3174457152073385,0.0616931766359549,0.0617763304434695,0.0195355385335255
OBSEA/2020-01-07.out,0.0,0.0,0.1608965980646277,0.0,0.0,0.0380942815452208,0.0,0.1857811320333422,0.0,0.1795179614041439
OBSEA/2020-01-03.out,0.3253010865845776,0.3306613112588255,0.0,0.3207443091343707,0.3213648241003652,0.0,0.0,0.0641559027385093,0.1977847093579245,0.0223032282897262
OBSEA/2022-07-23.out,0.0,0.0,0.1681507573505901,0.0,0.0,0.0621217937786952,0.0,0.1040376441207529,0.0,0.1594105526330245
OBSEA/2020-12-12.out,0.6519171744500414,0.6508451906418312,0.64957360713038,0.4066819507284118,0.6584239737530024,0.64957360713038,0.4024728987123411,0.6518821434779681,0.6562073683133259,0.64957360713038
OBSEA/2021-10-01.out,0.4434334806053251,0.5785387440175339,0.2651772823989462,0.4801264639024523,0.5784902706363382,0.3711149522863801,0.0,0.0,0.3355303168218322,0.5790530407704279
OBSEA/2020-08-31.out,0.4281261839682466,0.4282820365713634,0.4280872385393059,0.0,0.0,0.6913384130040514,0.4709260503602274,0.0,0.4187808107709121,0.4252594994553987
OBSEA/2020-05-28.out,0.3452930987454379,0.3591418378236024,0.2147857345554458,0.2272227010187548,0.5544106358484395,0.4629928207801516,0.0243920277864088,0.2809367018572383,0.5607326748952354,0.0
OBSEA/2022-08-26.out,0.0,0.0,0.5322390550306275,0.0,0.4333846075936146,0.5192411769105613,0.0,0.0,0.5407733864067815,0.4813615253562152
OBSEA/2022-07-12.out,0.0,0.0,0.0,0.0,0.0060487091456686,0.0,0.0,0.0,0.106380493712217,0.0
