,AutoEncoder (AE)
OBSEA/2020-08-16.out,0.3950980392156862
OBSEA/2020-08-17.out,0.3694581280788177
OBSEA/2020-08-18.out,0.3432203389830508
OBSEA/2020-08-19.out,0.7205479452054795
OBSEA/2020-08-20.out,0.4406175771971496
OBSEA/2020-08-21.out,0.0610644257703081
OBSEA/2020-08-22.out,0.3728632478632478
OBSEA/2020-08-23.out,0.66796875
OBSEA/2020-08-24.out,0.3075489282385834
OBSEA/2020-08-25.out,0.240695652173913
OBSEA/2020-08-26.out,0.0003423485107839
OBSEA/2020-08-27.out,0.3547105561861521
OBSEA/2020-08-28.out,0.0
OBSEA/2020-08-29.out,0.0
OBSEA/2020-08-30.out,0.1620151371807001
OBSEA/2020-08-31.out,0.0029749256268593
OBSEA/2020-09-01.out,0.7133757961783439
OBSEA/2020-09-02.out,0.0027548209366391
OBSEA/2020-09-03.out,0.1095890410958904
OBSEA/2020-09-04.out,0.3012009087958455
OBSEA/2020-09-05.out,0.1745472837022132
OBSEA/2020-09-06.out,0.4027676620538966
OBSEA/2020-09-07.out,0.4348653793853685
OBSEA/2020-09-08.out,0.1811107180756986
OBSEA/2020-09-09.out,0.2104133118625872
OBSEA/2020-09-10.out,0.9172413793103448
OBSEA/2020-09-11.out,0.0
OBSEA/2020-09-12.out,0.0
OBSEA/2020-09-13.out,0.0
OBSEA/2020-09-14.out,0.0454545454545454
OBSEA/2020-09-15.out,0.086712044983723
OBSEA/2020-09-16.out,0.0856092436974789
OBSEA/2020-09-17.out,0.0
OBSEA/2020-09-18.out,0.0
OBSEA/2020-09-19.out,0.0061633281972265
OBSEA/2020-09-20.out,0.3903930131004366
OBSEA/2020-09-21.out,0.5024561403508772
OBSEA/2020-09-22.out,0.2832550860719874
OBSEA/2020-09-23.out,0.0
OBSEA/2020-09-24.out,0.2931995540691193
OBSEA/2020-09-25.out,0.1625887924230465
OBSEA/2020-09-26.out,0.0
OBSEA/2020-09-27.out,0.0
OBSEA/2020-09-28.out,0.0
OBSEA/2020-09-29.out,0.1812609457092819
OBSEA/2020-09-30.out,0.092074592074592
OBSEA/2020-10-01.out,0.0
OBSEA/2020-10-02.out,0.7378174330816747
OBSEA/2020-10-03.out,0.3573369565217391
OBSEA/2020-10-04.out,0.4497167138810198
OBSEA/2020-10-05.out,0.3820652173913043
OBSEA/2020-10-06.out,0.4034672970843184
OBSEA/2020-10-07.out,0.0
OBSEA/2020-10-08.out,0.7631578947368421
OBSEA/2020-10-09.out,0.2902208201892745
OBSEA/2020-10-10.out,0.0483870967741935
OBSEA/2020-10-11.out,0.31284046692607
OBSEA/2020-10-12.out,0.0
OBSEA/2020-10-13.out,0.0
OBSEA/2020-10-14.out,0.6346604215456675
OBSEA/2020-10-15.out,0.0612043435340572
OBSEA/2020-10-16.out,0.0
OBSEA/2020-10-17.out,0.0
OBSEA/2020-10-18.out,0.2258244829513694
OBSEA/2020-10-19.out,0.7344228804902962
OBSEA/2020-10-20.out,0.1258211217786761
OBSEA/2020-10-21.out,0.7212643678160919
OBSEA/2020-10-22.out,0.2426648256817397
OBSEA/2020-10-23.out,0.4814926271441468
OBSEA/2020-10-24.out,0.0
OBSEA/2020-10-25.out,0.8152350081037277
OBSEA/2020-10-26.out,0.0756756756756756
OBSEA/2020-10-27.out,0.0104986876640419
OBSEA/2020-10-28.out,0.8333333333333334
OBSEA/2020-10-29.out,0.2916160388821385
OBSEA/2020-10-30.out,0.274822695035461
OBSEA/2020-10-31.out,0.1312419974391805
OBSEA/2020-11-01.out,0.1660204441311244
OBSEA/2020-11-02.out,0.2433148001059041
OBSEA/2020-11-03.out,0.1030470914127423
OBSEA/2020-11-04.out,0.3500887049083382
OBSEA/2020-11-05.out,0.3046296296296296
OBSEA/2020-11-06.out,0.6940993788819876
OBSEA/2020-11-07.out,0.6771700356718192
OBSEA/2020-11-08.out,0.0
OBSEA/2020-11-09.out,0.0
OBSEA/2020-11-10.out,0.0
OBSEA/2020-11-11.out,0.7531340405014465
OBSEA/2020-11-12.out,0.0918918918918919
OBSEA/2020-11-13.out,0.8423963133640553
OBSEA/2020-11-14.out,0.4271744724652599
OBSEA/2020-11-15.out,0.0
OBSEA/2020-11-16.out,0.0
OBSEA/2020-11-17.out,0.0597189695550351
OBSEA/2020-11-18.out,0.2780530457592539
OBSEA/2020-11-19.out,0.0532511210762331
OBSEA/2020-11-20.out,0.1888147768086198
OBSEA/2020-11-21.out,0.2047768206734534
OBSEA/2020-11-22.out,0.55
OBSEA/2020-11-23.out,0.1187977099236641
OBSEA/2020-11-24.out,0.0065288356909684
OBSEA/2020-11-25.out,0.097837646224743
OBSEA/2020-11-26.out,0.0
OBSEA/2020-11-27.out,0.0
OBSEA/2020-11-28.out,0.0
OBSEA/2020-11-29.out,0.0
OBSEA/2020-11-30.out,0.0
OBSEA/2020-12-01.out,0.0
OBSEA/2020-12-02.out,0.0
OBSEA/2020-12-03.out,0.0
OBSEA/2020-12-04.out,0.0
OBSEA/2020-12-05.out,0.0
OBSEA/2020-12-06.out,0.0
OBSEA/2020-12-07.out,0.0
OBSEA/2020-12-08.out,0.0
OBSEA/2020-12-09.out,0.2025316455696202
OBSEA/2020-12-10.out,0.1753761969904241
OBSEA/2020-12-11.out,0.0485881455100483
OBSEA/2020-12-12.out,0.0
OBSEA/2020-12-13.out,0.0660314646576556
OBSEA/2020-12-14.out,0.0
OBSEA/2020-12-15.out,0.0
OBSEA/2020-12-16.out,0.0
OBSEA/2020-12-17.out,0.0842529711375212
OBSEA/2020-12-18.out,0.0
OBSEA/2020-12-19.out,0.2203962179198559
OBSEA/2020-12-20.out,0.0
OBSEA/2020-12-21.out,0.0
OBSEA/2020-12-22.out,0.0
OBSEA/2020-12-23.out,0.4059438275636838
OBSEA/2020-12-24.out,0.0106861642294713
OBSEA/2020-12-25.out,0.1044025157232704
OBSEA/2020-12-26.out,0.0090252707581227
OBSEA/2020-12-27.out,0.0406707099536211
OBSEA/2020-12-28.out,0.0
